symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
TST/USDT,2026-08-09 20:10,15m,3,0.02099,0.0206,1.8580276322058191,1.8580276322058191,5.669366364935684,2.048594568842305,43.85
TST/USDT,2026-08-09 20:10,30m,6,0.02099,0.02161,-2.9537875178656456,-2.9537875178656456,5.669366364935684,3.5254883277751192,43.85
TST/USDT,2026-08-09 20:10,1h,12,0.02099,0.02143,-2.0962363030014264,-2.0962363030014264,5.669366364935684,6.717484516436388,43.85
TST/USDT,2026-08-09 20:10,2h,24,0.02099,0.02065,1.6198189614101952,1.6198189614101952,5.669366364935684,6.717484516436388,43.85
ACE/USDT,2026-08-09 03:25,15m,3,0.13026,0.13253,-1.742668509135592,-1.6958256599140715,0.38384768923691115,2.3568248119146458,17.21
ACE/USDT,2026-08-09 03:25,30m,6,0.13026,0.13106,-0.6141563027790748,-0.5678330263965765,0.38384768923691115,2.5103638876094143,17.21
ACE/USDT,2026-08-09 03:25,1h,12,0.13026,0.12992,0.26101642868108343,0.3069367710251563,1.2590204206970481,2.5103638876094143,17.21
ACE/USDT,2026-08-09 03:25,2h,24,0.13026,0.12789,1.8194380469829445,1.8646408839778912,3.500690925840612,2.5103638876094143,17.21
ACE/USDT,2026-08-09 03:25,4h,48,0.13026,0.12725,2.310763089206192,2.3557397176181625,4.498694917856588,2.5103638876094143,17.21
ACE/USDT,2026-08-09 03:25,8h,96,0.13026,0.12154,6.694303700291719,6.737262124002454,8.79011208352525,4.537079686780307,17.21
ACE/USDT,2026-08-09 03:25,12h,144,0.13026,0.12334,5.312452019038831,5.356046654389186,8.79011208352525,4.537079686780307,17.21
COOKIE/USDT,2026-08-09 01:00,15m,3,0.012904,0.012755,1.1546807191568491,1.1546807191568491,5.773403595784259,0.5812151270923642,29.6
COOKIE/USDT,2026-08-09 01:00,30m,6,0.012904,0.012143,5.897396156230636,5.897396156230636,6.447613143211416,1.1391816491010505,29.6
COOKIE/USDT,2026-08-09 01:00,1h,12,0.012904,0.011722,9.159950402975827,9.159950402975827,9.965902045877252,1.1391816491010505,29.6
COOKIE/USDT,2026-08-09 01:00,2h,24,0.012904,0.011819,8.40824550526969,8.40824550526969,9.965902045877252,1.1391816491010505,29.6
COOKIE/USDT,2026-08-09 01:00,4h,48,0.012904,0.011602,10.089894606323629,10.089894606323629,11.965282083075017,1.1391816491010505,29.6
COOKIE/USDT,2026-08-09 01:00,8h,96,0.012904,0.011951,7.38530688158711,7.38530688158711,11.965282083075017,4.471481711097329,29.6
COOKIE/USDT,2026-08-09 01:00,12h,144,0.012904,0.013352,-3.4717916924984404,-3.4717916924984404,11.965282083075017,10.655610663360195,29.6
